AÑO,INEGI,ENTIDAD,DELITO,MODALIDAD,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
2014,11,GUANAJUATO,EXTORSION,EXTORSION,2,6,5,5,3,3,2,2,4,1,2,2
2014,12,GUERRERO,HOMICIDIO,DOLOSO,156,132,144,123,122,103,115,134,121,118,126,120
2014,12,GUERRERO,HOMICIDIO,CULPOSO,57,72,54,65,92,64,49,48,49,51,37,45
2014,12,GUERRERO,SECUESTRO,SECUESTRO,8,11,11,12,12,7,11,20,9,6,13,7
2014,12,GUERRERO,EXTORSION,EXTORSION,15,18,13,17,11,17,8,17,10,15,15,12
2014,13,HIDALGO,HOMICIDIO,DOLOSO,11,13,14,16,15,12,14,10,15,9,11,8
2014,13,HIDALGO,HOMICIDIO,CULPOSO,44,70,54,49,62,46,45,43,58,37,53,58
2014,13,HIDALGO,SECUESTRO,SECUESTRO,4,1,0,3,2,3,2,2,0,0,4,0
2014,13,HIDALGO,EXTORSION,EXTORSION,7,7,6,13,7,4,8,11,14,11,3,6
2014,14,JALISCO,HOMICIDIO,DOLOSO,73,93,114,86,95,100,76,90,72,80,70,88
2014,14,JALISCO,HOMICIDIO,CULPOSO,82,65,80,88,61,70,67,60,70,66,83,78
2014,14,JALISCO,SECUESTRO,SECUESTRO,3,1,2,3,4,2,2,1,2,0,2,1
2014,14,JALISCO,EXTORSION,EXTORSION,85,85,147,103,47,36,32,35,31,43,36,46
2014,15,MEXICO,HOMICIDIO,DOLOSO,218,222,200,177,153,161,190,209,174,191,156,227
2014,15,MEXICO,HOMICIDIO,CULPOSO,181,164,190,188,193,198,181,194,172,147,170,187
2014,15,MEXICO,SECUESTRO,SECUESTRO,21,16,13,9,14,18,9,24,20,21,21,14
2014,15,MEXICO,EXTORSION,EXTORSION,159,103,85,117,86,78,82,68,84,108,72,62
2014,16,MICHOACAN,HOMICIDIO,DOLOSO,105,89,106,94,119,114,73,81,84,75,71,74
2014,16,MICHOACAN,HOMICIDIO,CULPOSO,116,133,155,155,155,137,139,128,107,119,122,132
2014,16,MICHOACAN,SECUESTRO,SECUESTRO,14,14,13,10,9,10,1,2,2,4,3,2
2014,16,MICHOACAN,EXTORSION,EXTORSION,37,27,36,31,39,31,9,8,2,4,2,3
2014,17,MORELOS,HOMICIDIO,DOLOSO,49,52,50,42,32,34,33,41,33,31,35,20
2014,17,MORELOS,HOMICIDIO,CULPOSO,43,54,41,39,42,31,24,37,40,39,25,46
2014,17,MORELOS,SECUESTRO,SECUESTRO,19,15,12,15,8,7,14,10,10,8,5,5
2014,17,MORELOS,EXTORSION,EXTORSION,47,39,33,48,35,31,33,17,18,25,14,17
2014,18,NAYARIT,HOMICIDIO,DOLOSO,11,7,10,10,12,15,10,13,13,5,6,3
2014,18,NAYARIT,HOMICIDIO,CULPOSO,8,10,3,8,13,6,2,17,3,10,7,14
2014,18,NAYARIT,SECUESTRO,SECUESTRO,0,2,1,1,0,0,0,0,0,0,0,1
2014,18,NAYARIT,EXTORSION,EXTORSION,0,0,0,0,1,0,0,0,0,0,0,0
2014,19,NUEVO LEON,HOMICIDIO,DOLOSO,45,39,50,52,42,34,34,38,44,33,38,41
2014,19,NUEVO LEON,HOMICIDIO,CULPOSO,87,49,53,50,65,60,60,102,47,63,56,57
2014,19,NUEVO LEON,SECUESTRO,SECUESTRO,4,5,4,3,6,4,6,1,3,3,1,2
2014,19,NUEVO LEON,EXTORSION,EXTORSION,27,21,29,28,35,52,31,25,40,40,29,38
2014,20,OAXACA,HOMICIDIO,DOLOSO,44,50,68,54,51,58,76,56,59,65,62,66
2014,20,OAXACA,HOMICIDIO,CULPOSO,86,96,96,93,60,80,60,52,75,38,22,25
2014,20,OAXACA,SECUESTRO,SECUESTRO,3,3,3,3,9,2,4,3,0,3,4,3
2014,20,OAXACA,EXTORSION,EXTORSION,14,10,7,13,11,9,4,5,3,10,8,8
2014,21,PUEBLA,HOMICIDIO,DOLOSO,32,25,28,31,21,24,21,28,39,42,49,27
2014,21,PUEBLA,HOMICIDIO,CULPOSO,59,51,51,57,50,49,51,61,57,50,59,34
2014,21,PUEBLA,SECUESTRO,SECUESTRO,4,7,6,4,3,0,2,1,1,2,2,2
2014,21,PUEBLA,EXTORSION,EXTORSION,16,13,8,6,13,12,14,14,21,24,19,20
2014,22,QUERETARO,HOMICIDIO,DOLOSO,7,8,10,5,8,3,8,12,14,14,6,8
